idvenue,vname,city,state,zipcode,seats
1,"The C Note",Hull,MA,02045,50
2,"The River Club",Scituate,MA,02066,150
3,"The Lantana",Randolph,MA,02368,200
4,"TD Garden",Boston,MA,02114,19500
5,"Staples Center","Los Angeles",CA,90015,19000
6,"State Farm Arena",Atlanta,GA,30303,21000
7,"Capital One Arena",Washington,DC,20004,20356
8,"SAP Center","San Jose",CA,95113,17562
9,"American Airlines Center",Dallas,TX,75209,21000
10,"Moda Center",Portland,OR,97227,19980
11,"Brooklyn Mirage","New York",NY,11237,12000
